"id","netPrice","stock","certificate","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","lab","location","imageLink","videoLink","created_at","updated_at"
188,11276,"BG-6A",5256455435,"RD",2.01,"I","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=DM3MX2EWMM","",NULL,NULL
189,15973,"BH-6",2258614408,"RD",2.61,"I","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=85VRILZFVV","",NULL,NULL
190,11635,"BG-10A",2256455458,"RD",2.02,"J","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=T32OZ0OVXX","",NULL,NULL
191,8998,"BE2-7",7251010295,"RD",2.01,"J","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=ZLV63YWFTT","",NULL,NULL
192,7708,"BG-1",7251311276,"RD",2,"J","I1","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=OMG7087GRR","",NULL,NULL
193,11311,"BC1-3",2247723593,"RD",2.01,"K","VVS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=0ZI4E07UDD","",NULL,NULL
194,6080,"BF2-13",7258436506,"RD",2.01,"L","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=F2K0YCDYZZ","",NULL,NULL
195,5887,"AV-13",1247349654,"RD",2.03,"L","SI2","VG","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=KCDDL6XV99","",NULL,NULL
196,5843,"AR2-1C",2238466191,"RD",2.05,"L","SI2","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=LDUXO74KJJ","",NULL,NULL
197,45346,"BG-5",7256326229,"RD",3.16,"E","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=8MHL3SPRKK","",NULL,NULL
198,45053,"BC2-2",5243823659,"RD",3.8,"E","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=VCIUSHW2PP","",NULL,NULL
199,46609,"BG-2",5253335165,"RD",3.2,"H","VVS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=YJVXOM622","",NULL,NULL
200,24120,"BF1-5",2256614363,"RD",3,"H","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=VK2WNWM8EE","",NULL,NULL
201,17577,"BG-4A",7258436476,"RD",3.1,"H","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=T11O3K4GZZ","",NULL,NULL
202,18087,"BG-8",1253497509,"RD",3.19,"H","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=3XUBWTA3LL","",NULL,NULL
